product,category,brand,price,quantity,revenue,inventory
Sunset Gelato 3.5g,flower,Emerald Peak,38,42,1596,210
Blue Dream 3.5g,flower,Emerald Peak,32,55,1760,160
OG Kush 3.5g,flower,High Ridge,28,18,504,180
Wedding Cake 3.5g,flower,Pacific Bloom,42,11,462,130
Runtz Prepack 7g,flower,Emerald Peak,64,9,576,95
Pineapple Live Resin 1g,concentrates,Hash Harbor,46,14,644,60
Lemon Badder 1g,concentrates,Hash Harbor,40,6,240,75
Rosin Jam 1g,concentrates,Terp Foundry,55,4,220,58
Distillate Cart 1g,vapes,Cloud Cartel,35,63,2205,150
Live Resin Cart 1g,vapes,Cloud Cartel,45,37,1665,122
CBD Cart 1g,vapes,Cloud Cartel,30,8,240,84
Disposable Vape 0.5g,vapes,JetStream,28,22,616,40
Nano Gummies 10pk,edibles,SweetLeaf,22,71,1562,95
THC Gummies 10pk,edibles,SweetLeaf,18,64,1152,140
CBN Sleep Gummies,edibles,SweetLeaf,24,19,456,110
Chocolate Bar 100mg,edibles,CannaKitchen,20,33,660,48
Fruit Chews 100mg,edibles,CannaKitchen,16,15,240,52
Infused Pre-roll 1g,pre-rolls,RollCo,14,51,714,180
2pk Infused Pre-rolls,pre-rolls,RollCo,22,29,638,132
5pk Mini Pre-rolls,pre-rolls,RollCo,26,12,312,144
Classic Pre-roll 1g,pre-rolls,Green Trail,10,57,570,88
Sativa Pre-roll 1g,pre-rolls,Green Trail,12,24,288,76
Hybrid Pre-roll 1g,pre-rolls,Green Trail,12,13,156,102
THC Beverage 10mg,edibles,CanFizz,9,16,144,64
High Potency Flower 3.5g,flower,High Ridge,48,5,240,90
Budget Flower 3.5g,flower,Valley Harvest,22,44,968,70
Premium Rosin Cart,vapes,Terp Foundry,52,3,156,44
Hash Infused Blunt,pre-rolls,RollCo,30,7,210,66
Solventless Rosin 1g,concentrates,Terp Foundry,62,2,124,40
CBD Tincture 30ml,edibles,CanFizz,34,9,306,58
